player_id,year_id,school_name,conf_abbr,class,pos,g,tackles_solo,tackles_assists,tackles_total,tackles_loss,sacks,def_int,def_int_yds,def_int_yds_per_int,def_int_td,pass_defended,fumbles_rec,fumbles_rec_yds,fumbles_rec_td,fumbles_forced,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,scrim_att,scrim_yds,scrim_yds_per_att,scrim_td,pass_cmp,pass_att,pass_cmp_pct,pass_yds,pass_yds_per_att,adj_pass_yds_per_att,pass_td,pass_int,pass_rating
892,2018,Florida State,ACC,FR,DB,11.0,15.0,3.0,18.0,1.0,0.0,0.0,0.0,,0.0,9.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,
892,*2019,Florida State,ACC,SO,DB,12.0,34.0,15.0,49.0,1.0,0.0,1.0,0.0,0.0,0.0,14.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,
892,2020,Florida State,ACC,JR,DB,8.0,22.0,8.0,30.0,1.0,0.0,3.0,74.0,24.7,0.0,6.0,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,
893,*2017,Oregon,Pac-12,FR,CB,13.0,49.0,13.0,62.0,1.0,0.0,3.0,48.0,16.0,0.0,4.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,,,,
893,*2018,Oregon,Pac-12,SO,CB,13.0,47.0,10.0,57.0,4.5,1.0,3.0,38.0,12.7,1.0,18.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,
893,*2019,Oregon,Pac-12,JR,CB,14.0,47.0,17.0,64.0,5.0,0.0,2.0,26.0,13.0,0.0,10.0,0.0,,,1.0,,,,,,,,,,,,,,,,,,,,,
893,*2020,Oregon,Pac-12,SR,CB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
894,*2017,LSU,SEC,FR,CB,4.0,4.0,5.0,9.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,
894,*2018,LSU,SEC,SO,CB,13.0,20.0,11.0,31.0,1.5,1.0,1.0,0.0,0.0,0.0,6.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,
894,*2019,LSU,SEC,JR,CB,15.0,36.0,11.0,47.0,2.0,0.0,4.0,45.0,11.3,0.0,8.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,
